Date, Open, Close/Last, Volume, High, Low
8/2/2012,86.12,86.8271,83023385,$87.24 ,$85.75 
8/3/2012,87.66,87.9571,86083296,$88.28 ,$87.37 
8/6/2012,88.18,88.9357,75488233,$89.27 ,$87.89 
8/7/2012,88.97,88.702,72558872,$89.29 ,$88.29 
8/8/2012,88.48,88.5514,60970746,$89.13 ,$88.16 
8/9/2012,88.26,88.6757,55081834,$88.82 ,$88.26 
8/10/2012,88.39,88.8143,48726623,$88.82 ,$88.39 
8/13/2012,89.06,90,69562052,$90 ,$89.04 
8/14/2012,90.27,90.2414,84939075,$91.23 ,$90.03 
8/15/2012,90.19,90.1185,64307325,$90.57 ,$89.68 
8/16/2012,90.17,90.9057,63601368,$90.97 ,$90.07 
8/17/2012,91.43,92.5871,110457373,$92.60 ,$91.26 
8/20/2012,92.86,95.0214,152992536,$95.02 ,$92.84 
8/21/2012,95.83,93.7231,202792581,$96.41 ,$92.90 
8/22/2012,93.49,95.5528,140900172,$95.57 ,$92.59 
8/23/2012,95.16,94.6614,104855271,$95.70 ,$94.45 
8/24/2012,94.22,94.746,107074132,$95.64 ,$93.65 
8/27/2012,97.14,96.5257,106575802,$97.27 ,$96.22 
8/28/2012,96.43,96.4,66709096,$96.59 ,$95.81 
8/29/2012,96.46,96.2094,50544551,$96.81 ,$96.09 
8/30/2012,95.81,94.8383,75514273,$95.94 ,$94.69 
8/31/2012,95.32,95.0343,84463495,$95.51 ,$93.89 
9/4/2012,95.11,96.4243,91805028,$96.45 ,$94.93 
9/5/2012,96.51,95.7471,83949835,$96.62 ,$95.66 
9/6/2012,96.17,96.61,97738999,$96.90 ,$95.83 
9/7/2012,96.86,97.2057,82228185,$97.50 ,$96.54 
9/10/2012,97.21,94.6771,121551956,$97.61 ,$94.59 
9/11/2012,95.02,94.37,125760918,$95.73 ,$93.79 
9/12/2012,95.26,95.6843,177589913,$95.70 ,$93.71 
9/13/2012,96.77,97.5685,149262095,$97.93 ,$96.40 
9/14/2012,98.57,98.7543,149877325,$99.57 ,$98.27 
9/17/2012,99.91,99.9687,98918360,$99.97 ,$99.23 
9/18/2012,99.98,100.2728,93139368,$100.33 ,$99.49 
9/19/2012,100.04,100.3,81575714,$100.57 ,$99.94 
9/20/2012,99.88,99.8143,83949835,$100.01 ,$99.09 
9/21/2012,100.34,100.0135,142582763,$100.72 ,$99.91 
9/24/2012,98.12,98.6843,159435968,$99.30 ,$97.57 
9/25/2012,98.32,96.22,129376629,$98.97 ,$96.14 
9/26/2012,95.53,95.0257,144088393,$96.10 ,$94.46 
9/27/2012,94.9,97.3314,148037514,$97.45 ,$94.34 
9/28/2012,96.96,95.3007,133569490,$97.30 ,$95.25 
10/1/2012,95.88,94.1985,135694481,$96.68 ,$93.79 
10/2/2012,94.54,94.4728,156293037,$95.19 ,$92.95 
10/3/2012,94.98,95.9214,105850532,$95.98 ,$94.66 
10/4/2012,95.89,95.2571,92516018,$96.32 ,$95.08 
10/5/2012,95.03,93.2271,148189554,$95.14 ,$93.04 
10/8/2012,92.41,91.1671,159189568,$92.51 ,$90.87 
10/9/2012,91.24,90.8357,209390853,$91.50 ,$89.08 
10/10/2012,91.39,91.5585,127322338,$92.14 ,$91 
10/11/2012,92.36,89.7285,136341211,$92.46 ,$89.73 
10/12/2012,89.94,89.9591,114883754,$90.77 ,$89.33 
10/15/2012,90.34,90.68,107948432,$90.73 ,$89.12 
10/16/2012,90.77,92.8275,137208791,$92.90 ,$90.14 
10/17/2012,92.7,92.0876,97195099,$93.26 ,$92 
10/18/2012,91.37,90.3771,119025656,$91.72 ,$90 
10/19/2012,90.15,87.12,185618286,$90.25 ,$87.09 
